"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","2:35:15","2:35:15","4.69","33:08","113","150","344","320","115","0.26","826","7:48","160","1:34:38","20:11"
"2","0:03.5","2:35:18","0.00","47:29","73","73","--","--","0","--","0","0","0","0","--"
"3","6:45.1","2:42:03","0.27","24:57","104","111","--","27","113","0.35","15","14:18","124","5:52","21:41"
"4","1:11.2","2:43:15","0.03","47:13","94","101","--","8","119","0.18","2","26:17","119","0:48","31:47"
"5","2:30.4","2:45:45","0.08","32:26","100","101","--","18","121","0.26","5","18:02","151","1:48","23:17"
"6","11:19","2:57:04","0.41","27:47","101","105","--","63","115","0.31","27","13:58","160","10:02","24:39"
"7","14:33","3:11:37","0.38","38:35","104","119","--","62","115","0.22","46","12:40","159","8:41","23:01"
"8","2:27.0","3:14:04","0.07","34:43","111","132","--","4","123","0.23","11","15:57","158","1:29","21:00"
"9","1:07.0","3:15:11","0.07","16:52","104","107","--","--","92","0.65","3","15:16","119","1:07.0","16:52"
"10","0:03.2","3:15:14","0.00","31:45","107","107","--","--","0","--","0","18:02","0","0:03","29:35"
"11","3:02.3","3:18:16","0.13","23:03","120","150","--","15","105","0.41","17","14:39","132","2:27","18:35"
"12","6:19.7","3:24:36","0.16","38:46","114","146","--","11","118","0.22","31","15:57","119","3:40","22:27"
"13","0:32.0","3:25:08","0.00","0","96","106","--","--","52","0.10","1","25:11","119","0","--"
"14","1:10.8","3:26:19","0.00","0","92","95","--","--","119","0.03","2","31:20","119","0","--"
"15","8:39.1","3:34:58","0.29","30:02","107","115","--","36","115","0.29","32","16:23","149","6:28","22:26"
"16","0:01.3","3:34:59","0.00","0","107","107","--","--","0","--","0","24:28","0","0","--"
"17","1:34:36","5:09:35","4.69","20:11","108","149","14","236","104","0.47","385","11:54","186","1:23:49","17:52"
"Summary","5:09:35","5:09:35","11.26","27:30","110","150","358","799","110","0.33","1,403","7:48","186","3:40:52","19:36"
